dataset,image_id,ref_id,distorted_path,ref_path,distortion_type,distortion_code,severity_or_level,mos_or_dmos,split,group,tsne_x,tsne_y
KADID-10k,I26_16_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_16_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Brighten,NA,3,3.57,val,other,18.850767,16.902063
KADID-10k,I26_16_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_16_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Brighten,NA,4,2.93,val,other,18.255445,15.23979
KADID-10k,I26_23_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_23_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color block,NA,1,2.47,val,other,18.467419,18.895006
KADID-10k,I26_23_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_23_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color block,NA,2,2.2,val,other,18.146961,18.245401
KADID-10k,I26_23_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_23_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color block,NA,3,2.67,val,other,18.662813,18.025572
KADID-10k,I26_04_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_04_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color diffusion,NA,1,4.8,val,other,19.388474,18.300152
KADID-10k,I26_04_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_04_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color diffusion,NA,3,2.9,val,other,-2.653463,-14.598408
KADID-10k,I26_06_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_06_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color quantization,NA,1,4.57,val,other,16.757004,15.173528
KADID-10k,I26_06_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_06_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color quantization,NA,4,3.53,val,other,-2.0771544,-15.548407
KADID-10k,I26_07_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_07_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color saturation 1,NA,4,2.47,val,other,17.087837,15.059728
KADID-10k,I26_07_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_07_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color saturation 1,NA,5,2.6,val,other,-2.1978855,-15.519128
KADID-10k,I26_08_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_08_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color saturation 2,NA,1,4.67,val,other,18.810125,18.41023
KADID-10k,I26_08_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_08_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color saturation 2,NA,3,3.53,val,other,-2.0530157,-16.067793
KADID-10k,I26_08_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_08_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color saturation 2,NA,5,1.77,val,other,-8.049886,-5.2012773
KADID-10k,I26_05_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_05_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color shift,NA,1,4.43,val,other,17.915106,16.593678
KADID-10k,I26_05_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_05_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color shift,NA,2,2.64,val,other,15.654947,13.444749
KADID-10k,I26_05_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_05_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color shift,NA,3,1.57,val,other,15.099001,12.768954
KADID-10k,I26_25_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_25_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Contrast change,NA,5,3.03,val,other,18.553574,16.300043
KADID-10k,I26_17_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_17_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Darken,NA,2,4.37,val,other,18.30108,18.383749
KADID-10k,I26_17_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_17_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Darken,NA,4,3.37,val,other,17.323906,17.216639
KADID-10k,I26_17_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_17_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Darken,NA,5,1.77,val,other,17.258911,18.21591
KADID-10k,I26_15_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_15_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Denoise,NA,4,2.07,val,noise,-2.9492095,-15.509079
KADID-10k,I26_15_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_15_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Denoise,NA,5,1.47,val,noise,-1.8235676,-4.5971017
KADID-10k,I26_01_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_01_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Gaussian blur,NA,2,4.43,val,blur,19.291014,17.86315
KADID-10k,I26_01_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_01_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Gaussian blur,NA,5,1.3,val,blur,-32.204636,-2.6645398
KADID-10k,I26_24_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_24_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,High sharpen,NA,2,2.81,val,HF/sharpen,1.9216765,10.666924
KADID-10k,I26_24_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_24_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,High sharpen,NA,4,1.53,val,HF/sharpen,-2.3819103,8.092011
KADID-10k,I26_24_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_24_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,High sharpen,NA,5,1.43,val,HF/sharpen,-2.477259,8.056512
KADID-10k,I26_13_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_13_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Impulse noise,NA,4,2.29,val,noise,-7.6153393,-4.479248
KADID-10k,I26_10_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_10_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,JPEG,NA,1,4.6,val,other,18.15537,17.952293
KADID-10k,I26_10_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_10_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,JPEG,NA,2,4.1,val,other,17.98508,17.128653
KADID-10k,I26_10_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_10_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,JPEG,NA,3,3.93,val,other,17.468262,15.9194
KADID-10k,I26_10_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_10_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,JPEG,NA,5,1.5,val,other,-2.6067913,-15.435026
KADID-10k,I26_09_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_09_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,JPEG2000,NA,1,4.57,val,other,19.074644,17.64491
